uniqueID,surname,allOtherNames,firstName,commonName,displayName,earlierOrLaterNames,title,gender,birthDate,birthYear,birthPlace,deathDate,member,senator,wasPrimeMinister,wikidataID,wikipedia,adb,comments
Abbott1859,Abbott,Richard Hartley Smith,Richard,,"Abbott, Richard",,,male,,1859,Bendigo,1940-02-28,0,1,,Q7323613,https://en.wikipedia.org/wiki/Richard_Abbott_(politician),,
Abbott1869,Abbott,Percy Phipps,Percy,,"Abbott, Percy",,,male,1869-05-14,,Hobart,1940-09-09,1,1,,Q7167212,https://en.wikipedia.org/wiki/Percy_Abbott_(Australian_politician),,
Abbott1877,Abbott,Macartney,Macartney,Mac,"Abbott, Mac",,,male,1877-07-03,,Murrurundi,1960-12-30,0,1,,Q6722175,https://en.wikipedia.org/wiki/Mac_Abbott,,
Abbott1886,Abbott,Charles Lydiard Aubrey,Charles,Aubrey,"Abbott, Aubrey",,,male,1886-01-04,,St Leonards,1975-04-30,1,0,,Q4819077,https://en.wikipedia.org/wiki/Aubrey_Abbott,,
Abbott1891,Abbott,Joseph Palmer,Joseph,,"Abbott, Joseph",,,male,1891-10-18,,North Sydney,1965-05-07,1,0,,Q6208273,https://en.wikipedia.org/wiki/Joe_Abbott_(Australian_politician),,
Abbott1957,Abbott,Anthony John,Anthony,Tony,"Abbott, Tony",,,male,1957-11-04,,London,,1,0,1,Q348577,https://en.wikipedia.org/wiki/Tony_Abbott,,
Abel1939,Abel,John Arthur,John,,"Abel, John",,,male,1939-06-25,,Sydney,,1,0,,Q6218050,https://en.wikipedia.org/wiki/John_Abel_(politician),,
Abetz1958,Abetz,Eric,Eric,,"Abetz, Eric",,,male,1958-01-25,,Stuttgart,,0,1,,Q964840,https://en.wikipedia.org/wiki/Eric_Abetz,,
Adams1943,Adams,Judith Anne,Judith,,"Adams, Judith",nee Bird,,female,1943-04-11,,Picton,2012-03-31,0,1,,Q379072,https://en.wikipedia.org/wiki/Judith_Adams,,
Adams1951,Adams,Dick Godfrey Harry,Dick,,"Adams, Dick",,,male,1951-04-29,,Launceston,,1,0,,Q5272614,https://en.wikipedia.org/wiki/Dick_Adams_(politician),,
Adamson1857,Adamson,John,John,,"Adamson, John",,,male,1857-02-18,,Tudhoe,1922-05-02,0,1,,Q16031651,https://en.wikipedia.org/wiki/John_Adamson_(Queensland_politician),,
Adermann1896,Adermann,Charles Frederick,Charles,,"Adermann, Charles",Later Sir Charles,,male,1896-08-03,,Lowood,1979-05-09,1,0,,Q5074982,https://en.wikipedia.org/wiki/Charles_Adermann,,
Adermann1927,Adermann,Albert Evan,Albert,Evan,"Adermann, Evan",,,male,1927-03-10,,Kingaroy,2001-11-03,1,0,,Q5415311,https://en.wikipedia.org/wiki/Evan_Adermann,,
Ahern1871,Ahern,Cornelius Joseph,Cornelius,,"Ahern, Cornelius",,,male,1871-07-10,,Victoria,1955-07-10,1,0,,Q5171294,https://en.wikipedia.org/wiki/Cornelius_Ahern,,
Albanese1963,Albanese,Anthony Norman,Anthony,,"Albanese, Anthony",,,male,1963-03-02,,Sydney,,1,0,,Q335697,https://en.wikipedia.org/wiki/Anthony_Albanese,,
Aldred1945,Aldred,Kenneth James,Kenneth,Ken,"Aldred, Ken",,,male,1945-08-01,,East Melbourne,2016-04-17,1,0,,Q6387226,https://en.wikipedia.org/wiki/Ken_Aldred,,
Alexander1951,Alexander,John Gilbert,John,,"Alexander, John",,,male,1951-07-04,,Sydney,,1,0,,Q1281683,https://en.wikipedia.org/wiki/John_Alexander_(Australian_politician),,
Allan1916,Allan,Archibald Ian,Archibald,Ian,"Allan, Ian",,,male,1916-01-03,,Newcastle,2000-02-13,1,0,,Q5980752,https://en.wikipedia.org/wiki/Ian_Allan_(politician),,
Allen1966,Allen,Katrina Jane,Katrina,Katie,"Allen, Katie",,Dr,female,1966-02-24,,Albury,,1,0,,Q38589865,https://en.wikipedia.org/wiki/Katie_Allen_(politician),,
Allison1946,Allison,Lynette Fay,Lynette,Lyn,"Allison, Lyn",,,female,1946-10-21,,Melbourne,,0,1,,Q6708298,https://en.wikipedia.org/wiki/Lyn_Allison,,
Alston1941,Alston,Richard Kenneth Robert,Richard,,"Alston, Richard",,,male,1941-12-19,,Perth,,0,1,,Q7323712,https://en.wikipedia.org/wiki/Richard_Alston_(politician),,
Aly1967,Aly,Anne,Anne,,"Aly, Anne",,Dr,female,1967-03-29,,Alexandria,,1,0,,Q20631311,https://en.wikipedia.org/wiki/Anne_Aly,,
Amour1900,Amour,Stanley Kerin,Stanley,Stan,"Amour, Stan",,,male,1900-04-02,,Hamilton,1979-11-29,0,1,,Q7597527,https://en.wikipedia.org/wiki/Stan_Amour,,
Anderson1909,Anderson,Kenneth McColl,Kenneth,Ken,"Anderson, Ken",Later Sir Kenneth,,male,1909-10-11,,,1985-03-29,0,1,,Q6387234,https://en.wikipedia.org/wiki/Ken_Anderson_(politician),,
Anderson1956,Anderson,John Duncan,John,,"Anderson, John",,,male,1956-11-14,,Sydney,,1,0,,Q3180912,https://en.wikipedia.org/wiki/John_Anderson_(Australian_politician),,
AndersonCharles1897,Anderson,Charles Groves Wright,Charles,,"Anderson, Charles",,,male,1897-02-12,,Cape Town,1988-11-11,1,0,,Q5078470,https://en.wikipedia.org/wiki/Charles_Groves_Wright_Anderson,,
AndersonGordon1897,Anderson,Gordon,Gordon,,"Anderson, Gordon",,,male,1897-12-29,,Barkly,1958-05-23,1,0,,Q5584798,https://en.wikipedia.org/wiki/Gordon_Anderson_(politician),,
Andren1946,Andren,Peter James,Peter,,"Andren, Peter",,,male,1946-08-28,,Gulargambone,2007-11-03,1,0,,Q7172530,https://en.wikipedia.org/wiki/Peter_Andren,,
Andrew1866,Andrew,David,David,,"Andrew, David",,,male,1866-11-10,,Castlemaine,1928-11-18,0,1,,Q5230778,https://en.wikipedia.org/wiki/David_Andrew,,
Andrew1944,Andrew,John Neil,John,Neil,"Andrew, Neil",,,male,1944-06-07,,Waikerie,,1,0,,Q6988239,https://en.wikipedia.org/wiki/Neil_Andrew,,
Andrews1900,Andrews,Thomas William,Thomas,Tom,"Andrews, Tom",,,male,1900-10-19,,,1974-11-21,1,0,,Q7787078,https://en.wikipedia.org/wiki/Tom_Andrews_(Australian_politician),,
Andrews1955,Andrews,Kevin James,Kevin,,"Andrews, Kevin",,,male,1955-11-09,,Sale,,1,0,,Q6395733,https://en.wikipedia.org/wiki/Kevin_Andrews_(politician),,
Andrews1960,Andrews,Karen Lesley,Karen,,"Andrews, Karen",,,female,1960-08-23,,Brisbane,,1,0,,Q6369482,https://en.wikipedia.org/wiki/Karen_Andrews,,
Anning1949,Anning,William Fraser,William,Fraser,"Anning, Fraser",,,male,1949-10-14,,Brisbane,,0,1,,Q42893791,https://en.wikipedia.org/wiki/Fraser_Anning,,
Anstey1865,Anstey,Frank,Frank,,"Anstey, Frank",,,male,1865-08-18,,London,1940-10-31,1,0,,Q15516539,https://en.wikipedia.org/wiki/Frank_Anstey,,
Anthony1897,Anthony,Hubert Lawrence,Hubert,Larry (Hubert),"Anthony, Larry (Hubert)",,,male,1897-03-12,,Warren,1957-07-12,1,0,,Q15501239,https://en.wikipedia.org/wiki/Hubert_Lawrence_Anthony,,
Anthony1929,Anthony,John Douglas,John,Doug,"Anthony, Doug",,,male,1929-12-31,,Murwillumbah,,1,0,,Q1251694,https://en.wikipedia.org/wiki/Doug_Anthony,,
Anthony1961,Anthony,Lawrence James,Lawrence,Larry (Lawrence),"Anthony, Larry (Lawrence)",,,male,1961-12-17,,Sydney,,1,0,,Q6489884,https://en.wikipedia.org/wiki/Larry_Anthony,,
Antic1974,Antic,Alexander Charles,Alexander,Alex,"Antic, Alex",,,male,1974-12-17,,Adelaide,,0,1,,Q63520981,https://en.wikipedia.org/wiki/Alex_Antic,,
Arbib1971,Arbib,Mark Victor,Mark,,"Arbib, Mark",,,male,1971-11-09,,Chippendale,,0,1,,Q6766585,https://en.wikipedia.org/wiki/Mark_Arbib,,
Archer1871,Archer,Edward Walker,Edward,,"Archer, Edward",,,male,1871-12-12,,Croydon,1940-07-01,1,0,,Q5341592,https://en.wikipedia.org/wiki/Edward_Archer_(politician),,
Archer1929,Archer,Brian Roper,Brian,,"Archer, Brian",,,male,1929-08-21,,,2013-03-10,0,1,,Q4962990,https://en.wikipedia.org/wiki/Brian_Archer,,
Archer1975,Archer,Bridget Kathleen,Bridget,,"Archer, Bridget",,,female,1975-05-18,,,,1,0,,Q64225996,https://en.wikipedia.org/wiki/Bridget_Archer,,
Archibald1852,Archibald,William Oliver,William,,"Archibald, William",,,male,1852-06-03,,St Pancras,1926-06-28,1,0,,Q8004521,https://en.wikipedia.org/wiki/William_Archibald,Check birthdate,
