uniqueID,division,state,byElection,from,to,reasonCeasedToBeMember,changedSeat,comments
Abbott1869,New England,NSW,No,1913-05-31,1919-11-03,Retired,,
Abbott1886,Gwydir,NSW,No,1925-11-14,1929-10-12,Defeated,,
Abbott1886,Gwydir,NSW,No,1931-12-19,1937-03-28,Resigned,,
Abbott1891,New England,NSW,No,1940-09-21,1949-10-31,Retired,,
Abbott1957,Warringah,NSW,Yes,1994-03-26,2019-05-18,Defeated,,
Abel1939,Evans,NSW,No,1975-12-13,1977-11-10,Retired,,
Adams1951,Lyons,TAS,No,1993-03-13,2013-09-07,Defeated,,
Adermann1896,Fisher,QLD,No,1949-12-10,1972-11-02,Retired,,
Adermann1896,Maranoa,QLD,No,1943-08-21,1949-12-10,Until elected for Fisher,1,
Adermann1927,Fairfax,QLD,No,1984-12-01,1990-02-19,Retired,,
Adermann1927,Fisher,QLD,No,1972-12-02,1984-12-01,Until elected for Fairfax,1,
Ahern1871,Indi,VIC,No,1913-05-31,1914-09-05,Defeated,,
Albanese1963,Grayndler,NSW,No,1996-03-02,,,,
Aldred1945,Bruce,VIC,Yes,1983-05-28,1990-03-24,Until elected for Deakin,1,
Aldred1945,Deakin,VIC,No,1990-03-24,1996-01-29,Retired,,
Aldred1945,Henty,VIC,No,1975-12-13,1980-10-18,Defeated,,
Alexander1951,Bennelong,NSW,No,2010-08-21,,,,
Allan1916,Gwydir,NSW,Yes,1953-12-19,1969-04-30,Resigned,,
Allen1966,Higgins,VIC,,2019-05-18,,,,
Aly1967,Cowan,WA,No,2016-07-02,,,,
Anderson1956,Gwydir,NSW,Yes,1989-04-15,2007-10-17,Retired,,
AndersonCharles1897,Hume,NSW,No,1949-12-10,1951-04-28,Defeated,,
AndersonCharles1897,Hume,NSW,No,1955-12-10,1961-12-09,Defeated,,
AndersonGordon1897,Kingsford-Smith,NSW,No,1949-12-10,1955-11-04,Retired,,Same as Kingsford Smith - name was changed in 2001
Andren1946,Calare,NSW,No,1996-03-02,2007-10-17,Retired,,
