uniqueID,division,state,electionDate,byElection,reasonCeasedToBeMember,changedSeat,ceasedToBeMemberDate,Comment
Abbott1957,Warringah,NSW,1994-03-26,Yes,Defeated,,2019-05-18,
Abbott1886,Gwydir,NSW,1925-11-14,No,Defeated,,1929-10-12,
Abbott1886,Gwydir,NSW,1931-12-19,No,Resigned,,1937-03-28,
Abbott1891,New England,NSW,1940-09-21,No,Retired,,1949-10-31,
Abbott1869,New England,NSW,1913-05-31,No,Retired,,1919-11-03,
Abel1939,Evans,NSW,1975-12-13,No,Retired,,1977-11-10,
Adams1951,Lyons,TAS,1993-03-13,No,Defeated,,2013-09-07,
Adermann1927,Fisher,QLD,1972-12-02,No,Until elected for Fairfax,1,1984-12-01,
Adermann1927,Fairfax,QLD,1984-12-01,No,Retired,,1990-02-19,
Adermann1896,Maranoa,QLD,1943-08-21,No,Until elected for Fisher,1,1949-12-10,
Adermann1896,Fisher,QLD,1949-12-10,No,Retired,,1972-11-02,
Ahern1871,Indi,VIC,1913-05-31,No,Defeated,,1914-09-05,
Albanese1963,Grayndler,NSW,1996-03-02,No,,,,
Aldred1945,Henty,VIC,1975-12-13,No,Defeated,,1980-10-18,
Aldred1945,Bruce,VIC,1983-05-28,Yes,Until elected for Deakin,1,1990-03-24,
Aldred1945,Deakin,VIC,1990-03-24,No,Retired,,1996-01-29,
Alexander1951,Bennelong,NSW,2010-08-21,No,,,,
Allan1916,Gwydir,NSW,1953-12-19,Yes,Resigned,,1969-04-30,
Aly1967,Cowan,WA,2016-07-02,No,,,,
AndersonCharles1897,Hume,NSW,1949-12-10,No,Defeated,,1951-04-28,
AndersonCharles1897,Hume,NSW,1955-12-10,No,Defeated,,1961-12-09,
AndersonGordon1897,Kingsford-Smith,NSW,1949-12-10,No,Retired,,1955-11-04,Same as Kingsford Smith - name was changed in 2001
Anderson1956,Gwydir,NSW,1989-04-15,Yes,Retired,,2007-10-17,
Andren1946,Calare,NSW,1996-03-02,No,Retired,,2007-10-17,
Andrew1944,Wakefield,SA,1983-03-05,No,Retired,,2004-08-31,
Andrews1960,McPherson,QLD,2010-08-21,No,,,,
Andrews1955,Menzies,VIC,1991-05-11,Yes,,,,
Andrews1900,Darebin,VIC,1949-12-10,No,Defeated,,1955-12-10,
Anstey1865,Bourke,VIC,1910-04-13,No,Retired,,1934-08-07,
Anthony1897,Richmond,NSW,1937-10-23,No,Died,,1957-07-12,
Anthony1929,Richmond,NSW,1957-09-14,Yes,Resigned,,1984-01-18,
Anthony1961,Richmond,NSW,1996-03-02,No,Defeated,,2004-10-09,
Archer1871,Capricornia,QLD,1906-12-12,No,Defeated,,1910-04-13,
Archibald1852,Hindmarsh,SA,1910-04-13,No,Defeated,,1919-12-13,
Armitage1920,Mitchell,NSW,1961-12-09,No,Defeated,,1963-11-30,
Armitage1920,Chifley,NSW,1969-10-25,No,Retired,,1983-02-04,
Armstrong1909,Riverina,NSW,1965-02-27,Yes,Defeated,,1969-10-25,
Arthur1875,Bendigo,VIC,1913-05-31,No,Died,,1914-12-09,
Arthur1918,Barton,NSW,1966-11-26,No,Defeated,,1969-10-25,
AshleyBrown1915,Mitchell,NSW,1972-12-02,No,Defeated,,1974-05-18,
Aston1916,Phillip,NSW,1955-12-10,No,Defeated,,1961-12-09,
Aston1916,Phillip,NSW,1963-11-30,No,Defeated,,1972-12-02,
Atkinson1867,Wilmot,TAS,1906-12-12,No,Defeated,,1929-10-12,
Atkinson1948,Isaacs,VIC,1990-03-24,No,Defeated,,1996-03-02,
Badman1885,Grey,SA,1937-10-23,No,Defeated,,1943-08-21,
Bailey1946,McEwen,VIC,1990-03-24,No,Defeated,,1993-03-13,
Bailey1946,McEwen,VIC,1996-03-02,No,Retired,,2010-07-19,
Baillieu1937,La Trobe,VIC,1975-12-13,No,Defeated,,1980-10-18,
Baird1942,Cook,NSW,1998-10-03,No,Retired,,2007-10-17,
Baker1903,Oxley,QLD,1931-12-19,No,Until elected for Griffith,1,1934-09-15,
Baker1903,Griffith,QLD,1934-09-15,No,Died,,1939-03-28,
Baker1873,Maranoa,QLD,1940-09-21,No,Defeated,,1943-08-21,
Baker1958,Braddon,TAS,2004-10-09,No,Defeated,,2007-11-24,
Baldwin1951,Sydney,NSW,1983-03-05,No,Retired,,1998-08-31,
Baldwin1955,Paterson,NSW,1996-03-02,No,Defeated,,1998-10-03,
Baldwin1955,Paterson,NSW,2001-11-10,No,Retired,,2016-05-09,
Bamford1849,Herbert,QLD,1901-03-30,No,Retired,,1925-10-03,
Bandidt1906,Wide Bay,QLD,1958-11-22,No,Defeated,,1961-12-09,
Bandt1972,Melbourne,VIC,2010-08-21,No,,,,
