uniqueID,house
Abbott1957,reps
Abbott1886,reps
Abbott1891,reps
Abbott1869,reps
Abel1939,reps
Adams1951,reps
Adermann1927,reps
Adermann1896,reps
Ahern1871,reps
Albanese1963,reps
Aldred1945,reps
Alexander1951,reps
Allan1916,reps
Aly1967,reps
AndersonCharles1897,reps
AndersonGordon1897,reps
Anderson1956,reps
Andren1946,reps
Andrew1944,reps
Andrews1960,reps
Andrews1955,reps
Andrews1900,reps
Anstey1865,reps
Anthony1897,reps
Anthony1929,reps
Anthony1961,reps
Archer1871,reps
Archibald1852,reps
Armitage1920,reps
Armstrong1909,reps
Arthur1875,reps
Arthur1918,reps
AshleyBrown1915,reps
Aston1916,reps
Atkinson1867,reps
Atkinson1948,reps
Badman1885,reps
Bailey1946,reps
Baillieu1937,reps
Baird1942,reps
Baker1903,reps
Baker1873,reps
Baker1958,reps
Baldwin1951,reps
Baldwin1955,reps
Bamford1849,reps
Bandidt1906,reps
Bandt1972,reps
Banks1962,reps
Barnard1890,reps
Barnard1919,reps
Barnes1901,reps
Barresi1955,reps
Bartlett1949,reps
Barton1849,reps
Barwick1903,reps
Batchelor1865,reps
Bate1906,reps
Baume1930,reps
Bayley1882,reps
Beale1934,reps
Beale1898,reps
Beard1864,reps
Beasley1895,reps
Beaton1925,reps
Beazley1948,reps
Beazley1917,reps
Beck1882,reps
Beddall1948,reps
Bell1872,reps
Bennett1933,reps
Bennett1872,reps
Bennett1874,reps
Benson1909,reps
Berinson1932,reps
Berry1907,reps
Best1856,reps
Bevis1955,reps
Bidgood1959,reps
Billson1966,reps
Bilney1939,reps
Bird1906,reps
Bird1962,reps
Birney1928,reps
Birrell1913,reps
Bishop1942,reps
Bishop1956,reps
Blackburn1889,reps
Blackburn1880,reps
Blacklow1879,reps
Blackwood1861,reps
Blain1894,reps
Blakeley1886,reps
Blanchard1929,reps
Bland1882,reps
Blewett1933,reps
Blundell1873,reps
Blunt1951,reps
Bonnett1916,reps
Bonython1848,reps
Bosman1924,reps
Bostock1892,reps
Bourchier1929,reps
Bourke1913,reps
Bowden1872,reps
Bowden1888,reps
Bowen1973,reps
Bowen1922,reps
Bowen1911,reps
Boyd1867,reps
Bradbury1976,reps
Braddon1829,reps
Bradfield1933,reps
Bradford1946,reps
Braithwaite1933,reps
Brand1888,reps
Breen1898,reps
Brennan1873,reps
Brereton1946,reps
Bridges-Maxwell1929,reps
Briggs1977,reps
Brimblecombe1898,reps
Broad1975,reps
Broadbent1950,reps
Brodtmann1963,reps
Brough1961,reps
Brown1894,reps
Brown1931,reps
Brown1843,reps
Brown1940,reps
Brown1933,reps
Brown1861,reps
Brownbill1914,reps
Browne1924,reps
Bruce1884,reps
Bruce1883,reps
Brumby1953,reps
Bryant1914,reps
Bryson1898,reps
Buchanan1905,reps
Buchholz1968,reps
Bungey1934,reps
Burchell1883,reps
Burke1966,reps
Burke1969,reps
Burke1910,reps
Burney1957,reps
Burns1869,reps
Burns1933,reps
Burr1939,reps
Bury1913,reps
Butler1970,reps
Butler1977,reps
Byrne1962,reps
Cadman1937,reps
