uniqueID,state,from,to,reasonCeasedToBeSenator,section15Selection,comments
Abbott1859,VIC,1928-12-18,1929-06-30,retired,1,
Abbott1869,NSW,1925-11-14,1929-06-30,defeated,0,
Abbott1877,NSW,1935-07-01,1941-06-30,defeated,0,
Abetz1958,TAS,1994-02-22,,,1,
Adams1943,WA,2005-07-01,2012-03-31,died,0,
Adamson1857,QLD,1920-07-01,1922-05-02,died,0,
Allison1946,VIC,1996-07-01,2008-06-30,defeated,0,
Alston1941,VIC,1986-05-07,2004-02-10,resigned,1,
Amour1900,NSW,1938-07-01,1965-06-30,retired,0,
Anderson1909,NSW,1953-07-01,1975-11-11,retired,0,
Andrew1866,VIC,1925-11-14,1928-11-18,died,0,
Anning1949,QLD,2017-11-10,2019-06-30,,0,
Antic1974,SA,2019-07-01,,,0,
Arbib1971,NSW,2008-07-01,2012-03-05,resigned,0,
Archer1929,TAS,1975-12-13,1994-01-31,resigned,0,
Arkins1888,NSW,1935-09-26,1937-10-22,term expired; defeated,1,
Armstrong1908,NSW,1938-07-01,1962-06-30,retired,0,
Arnold1902,NSW,1941-07-01,1965-06-30,retired,0,
Arthur1883,NSW,1938-07-01,1944-06-30,defeated,0,
Ashley1881,NSW,1937-10-23,1958-06-27,died,0,
Askew1963,TAS,2019-03-06,,,0,
Aulich1945,TAS,1984-12-01,1993-06-30,defeated,0,
Aylett1900,TAS,1938-07-01,1965-06-30,retired,0,
Ayres,NSW,2019-07-01,,,0,
Back1950,WA,2009-03-11,2017-07-31,resigned,1,
Badman1885,SA,1932-07-01,1937-09-30,resigned,0,
Baker1841,SA,1901-03-30,1906-12-31,retired,0,
Bakhap1866,TAS,1913-07-01,1923-08-18,diedb,0,
Barker1846,VIC,1910-07-01,1920-06-30,defeated,0,
Barker1846,VIC,1923-07-01,1924-06-21,died,0,
Barnes1868,VIC,1913-07-01,1920-06-30,defeated,0,
Barnes1868,VIC,1923-07-01,1935-06-30,defeated,0,Died 31.1.1938 while Senator-elect.
Barnett1962,TAS,2002-02-26,2011-06-30,defeated,1,
Barrett1858,VIC,1901-03-29,1903-12-31,defeated,0,
Bartlett1964,QLD,1997-10-30,2008-06-30,defeated,1,
Barwell1877,SA,1925-12-18,1928-03-22,resigned,1,
Baume1930,NSW,1985-07-01,1996-09-09,resigned,0,
Baume1935,NSW,1974-05-18,1991-01-28,resigned,0,
Beahan1937,WA,1987-07-11,1996-06-30,defeated,0,
Beerworth1886,SA,1946-09-28,1951-03-19,retired,0,
Bell1950,TAS,1990-03-07,1996-06-30,defeated,1,
Benn1897,QLD,1950-07-01,1968-06-30,retired,0,
Benny1869,SA,1920-07-01,1926-01-26,resigned,0,
Bernardi1969,SA,2006-05-04,,,1,
Bessell1923,TAS,1974-05-18,1975-11-11,defeated,0,
Best1856,VIC,1901-03-29,1910-06-30,defeated,0,
Bilyk1959,TAS,2008-07-01,,,0,
Birmingham1974,SA,2007-05-03,,,1,
Bishop1913,SA,1962-07-01,1981-06-30,retired,0,
Bishop1942,NSW,1987-07-11,1994-02-24,resigned,0,
Bishop1954,WA,1996-07-01,2014-06-30,retired,0,
BjelkePetersen1920,QLD,1981-03-12,1993-06-30,retired,1,
Black1952,QLD,1984-12-01,1990-06-30,defeated,0,
Blakey1879,VIC,1910-07-01,1917-06-30,defeated,0,
Bolkus1950,SA,1981-07-01,2005-06-30,retired,0,
Bolton1860,VIC,1917-07-01,1923-06-30,defeated,0,
Bonner1922,QLD,1971-06-11,1983-02-04,defeated,1,
Boswell1940,QLD,1983-03-05,2014-06-30,retired,0,
Bourne1954,NSW,1990-07-01,2002-06-30,defeated,0,
Boyce1951,QLD,2007-04-19,2014-06-30,retired,1,
Bragg1984,NSW,2019-07-01,,,0,
Brand1873,VIC,1935-07-01,1947-06-30,defeated,0,
Brandis1957,QLD,2000-05-16,2018-02-08,resigned,1,
Branson1918,WA,1958-11-22,1971-06-30,retired,0,
Breen1902,VIC,1962-07-01,1968-06-30,retired,0,
Brennan1866,VIC,1931-05-12,1938-06-30,defeated,1,
Brockman1970,WA,2017-08-16,,,0,
Brown1885,QLD,1932-07-01,1965-06-30,retired,0,
Brown1920,VIC,1969-11-19,1970-11-20,term expired,1,
Brown1920,VIC,1971-07-01,1978-06-30,defeated,0,
Brown1944,TAS,1996-07-01,2012-06-15,resigned,0,
Brown1963,TAS,2005-08-25,,,1,
Brownhill1935,NSW,1984-12-01,2000-04-14,resigned,0,
Buckland1947,SA,2000-09-14,2005-06-30,retired,1,
Bull1905,NSW,1965-07-01,1971-06-30,defeated,0,
Bullock1955,WA,2014-07-01,2016-04-13,resigned,0,
Bunton1902,NSW,1975-02-27,1975-11-11,retired,1,
Burns1929,QLD,1987-07-11,1996-06-30,retired,0,
Burston1948,NSW,2016-07-02,2019-06-30,,0,
Bushby1965,TAS,2007-08-30,2019-01-21,,1,
Buttfield1912,SA,1955-10-11,1965-06-30,defeated,1,
Buttfield1912,SA,1968-07-01,1974-04-11,retired,0,
Button1932,VIC,1974-05-18,1993-03-31,resigned,0,
Buzacott1867,WA,1910-07-01,1923-06-30,defeated,0,
Byrne1910,QLD,1951-04-28,1959-06-30,defeated,0,
Byrne1910,QLD,1968-07-01,1974-05-18,defeated,0,
Calvert1940,TAS,1987-07-11,2007-08-29,resigned,0,
Cameron1857,TAS,1901-03-29,1903-12-31,defeated,0,
Cameron1857,TAS,1907-01-01,1913-06-30,defeated,0,
Cameron1878,VIC,1938-07-01,1962-06-30,retired,0,
Cameron1914,SA,1969-10-25,1978-06-30,retired,0,
Cameron1935,SA,1969-05-23,1969-10-25,defeated,1,
CameronDouglas1951,NSW,2008-07-01,2019-06-30,retired,0,
Campbell1943,NSW,1997-09-17,2008-06-30,retired,1,
Campbell1959,WA,1990-05-16,2007-05-31,resigned,1,
Canavan1980,QLD,2014-07-01,,,0,
Cant1907,WA,1959-07-01,1974-04-11,retired,0,
Carr1947,NSW,2012-03-06,2013-10-24,resigned,0,
Carr1955,VIC,1993-04-28,,,1,
Carrick1918,NSW,1971-07-01,1987-06-05,retired,0,
Carroll1872,WA,1926-07-01,1936-05-30,died,0,
Cash1970,WA,2008-07-01,,,0,
Cavanagh1913,SA,1962-07-01,1981-06-30,retired,0,
Chamarette1948,WA,1992-03-12,1996-06-30,defeated,1,
Chamberlain1884,TAS,1951-04-28,1953-01-16,died,0,
Chandler1990,TAS,2019-07-01,,,0,
Chaney1941,WA,1974-05-18,1990-02-27,resigned,0,
Chapman1879,SA,1926-07-01,1931-03-14,died,0,
Chapman1949,SA,1987-07-11,2008-06-30,defeated,0,
Charleston1848,SA,1901-03-30,1903-12-31,defeated,0,
Chataway1864,QLD,1907-01-01,1913-06-30,defeated,0,
Cherry1965,QLD,2001-07-31,2005-06-30,defeated,1,
Childs1934,NSW,1981-07-01,1997-09-10,resigned,0,
Chipp1925,VIC,1978-07-01,1986-08-18,resigned,0,
Chisholm1978,QLD,2016-07-02,,,0,
Ciccone1983,VIC,2019-03-06,,,0,
Clemons1862,TAS,1901-03-29,1914-09-05,defeated,0,
Clothier1877,WA,1938-07-01,1950-06-30,defeated,0,
Coates1944,TAS,1981-07-01,1996-08-20,resigned,0,
Cohen1918,VIC,1962-07-01,1969-10-07,died,0,
Colbeck1958,TAS,2002-02-04,2016-07-02,defeated,1,
Colbeck1958,TAS,2018-02-09,,,0,
Cole1908,TAS,1949-12-10,1965-06-30,defeated,0,
Colebatch1872,WA,1929-07-01,1933-03-20,resigned,0,
Coleman1931,WA,1974-05-18,1987-06-05,retired,0,
Collard1936,QLD,1975-12-13,1987-06-05,retired,0,
Collett1877,WA,1933-04-06,1947-06-30,defeated,1,
Collings1865,QLD,1932-07-01,1950-06-30,retired,0,
Collins1946,NT,1987-07-11,1998-03-30,resigned,0,"Pursuant to the Senate (Representation of Territories) Act 1973, a Senator's term of service expires at the close of the day next preceding the polling day for the general election of Members of the House of Representatives."
Collins1962,VIC,1995-05-03,2005-06-30,defeated,1,
Collins1962,VIC,2008-05-08,2019-02-15,resigned,1,
Colston1938,QLD,1975-12-13,1999-06-30,retired,0,
Conroy1963,VIC,1996-04-30,2016-09-30,resigned,1,
Cook1943,WA,1983-03-05,2005-06-30,retired,0,
Cooke1904,WA,1947-07-01,1951-03-19,defeated,0,
Cooke1904,WA,1952-02-07,1965-06-30,defeated,1,
Coonan1947,NSW,1996-07-01,2011-08-22,resigned,0,
Cooney1934,VIC,1984-12-01,2002-06-30,retired,0,
Cooper1888,QLD,1928-11-17,1932-06-30,defeated,0,
Cooper1888,QLD,1935-07-01,1968-06-30,retired,0,
Cormack1906,VIC,1951-04-28,1953-06-30,defeated,0,
Cormack1906,VIC,1962-07-01,1978-06-30,retired,0,
Cormann1970,WA,2007-06-19,,,1,
Cotton1915,NSW,1965-08-04,1978-07-13,resigned,1,
Coulter1930,SA,1987-07-11,1995-11-20,resigned,0,
Courtenay1879,NSW,1935-07-01,1935-07-11,died,0,Not sworn in.
Courtice1885,QLD,1937-09-02,1962-06-30,retired,1,
Cox1863,NSW,1920-07-01,1938-06-30,retired,0,
Crane1941,WA,1990-07-01,2002-06-30,defeated,0,
Crawford1865,QLD,1917-07-01,1947-06-30,retired,0,
CrichtonBrowne1944,WA,1981-07-01,1996-06-30,retired,0,
Critchley1892,SA,1947-07-01,1959-06-30,retired,0,
Croft1871,WA,1904-01-01,1910-06-30,retired,0,
Crossin1956,NT,1998-06-16,2013-09-06,retired,1,"Pursuant to the Senate (Representation of Territories) Act 1973, a Senator's term of service expires at the close of the day next preceding the polling day for the general election of Members of the House of Representatives."
