cabinet,cabinet_number,cabinet_name,uniqueID,cabinet_from,cabinet_to,cabinet_comment
Barton Ministry (Protectionist),1,"Barton, E",Barton1849,1901-01-01,1903-09-24,
Barton Ministry (Protectionist),1,"Deakin, A",Deakin1856,1901-01-01,1903-09-24,
Barton Ministry (Protectionist),1,"Lyne, WJ",Lyne1844,1901-01-01,1903-08-11,
Barton Ministry (Protectionist),1,"Forrest, J",Forrest1847,1903-08-11,1903-09-24,
Barton Ministry (Protectionist),1,"Turner, G",Turner1851,1901-01-01,1903-09-24,
Barton Ministry (Protectionist),1,"Kingston, CC",Kingston1850,1901-01-01,1903-07-24,
Barton Ministry (Protectionist),1,"Lyne, WJ",Lyne1844,1903-08-11,1903-09-24,
Barton Ministry (Protectionist),1,"Dickson, JR",,1901-01-01,1901-01-10,
Barton Ministry (Protectionist),1,"Forrest, J",Forrest1847,1901-01-17,1903-08-10,
Barton Ministry (Protectionist),1,"Drake, Senator JG",Drake1850,1903-08-10,1903-09-24,
Barton Ministry (Protectionist),1,"Forrest, J",Forrest1847,1901-01-01,1901-01-17,
Barton Ministry (Protectionist),1,"Drake, Senator JG",Drake1850,1901-02-05,1903-08-10,
Barton Ministry (Protectionist),1,"Fysh, PO",Fysh1835,1903-08-10,1903-09-24,
Barton Ministry (Protectionist),1,"O'Connor, Senator RE",OConnor1851,1901-01-01,1903-09-24,
Barton Ministry (Protectionist),1,"Lewis, NE",,1901-01-01,1901-04-23,
Barton Ministry (Protectionist),1,"Fysh, PO",Fysh1835,1901-04-26,1903-08-10,
Deakin Ministry (Protectionist),1,"Deakin, A",Deakin1856,1903-09-24,1904-04-27,
Deakin Ministry (Protectionist),1,"Lyne, WJ",Lyne1844,1903-09-24,1904-04-27,
Deakin Ministry (Protectionist),1,"Turner, G",Turner1851,1903-09-24,1904-04-27,
Deakin Ministry (Protectionist),1,"Forrest, J",Forrest1847,1903-09-24,1904-04-27,
Deakin Ministry (Protectionist),1,"Drake, Senator JG",Drake1850,1903-09-24,1904-04-27,
Deakin Ministry (Protectionist),1,"Fysh, PO",Fysh1835,1903-09-24,1904-04-27,
Deakin Ministry (Protectionist),1,"Chapman, A",Chapman1864,1903-09-24,1904-04-27,
Deakin Ministry (Protectionist),1,"Playford, Senator T",Playford1837,1903-09-24,1904-04-27,
Watson Ministry (ALP),1,"Watson, JC",Watson1867,1904-04-27,1904-08-17,
Watson Ministry (ALP),1,"Hughes, WM",Hughes1862,1904-04-27,1904-08-17,
Watson Ministry (ALP),1,"Higgins, HB",Higgins1851,1904-04-27,1904-08-17,
Watson Ministry (ALP),1,"Batchelor, EL",Batchelor1865,1904-04-27,1904-08-17,
Watson Ministry (ALP),1,"Fisher, A",Fisher1862,1904-04-27,1904-08-17,
Watson Ministry (ALP),1,"Dawson, Senator A",Dawson1863,1904-04-27,1904-08-17,
Watson Ministry (ALP),1,"Mahon, H",Mahon1857,1904-04-27,1904-08-17,
Watson Ministry (ALP),1,"McGregor, Senator G",McGregor1848,1904-04-27,1904-08-17,
Reid-McLean Ministry (Free Trade-Protectionist Coalition),1,"Reid, GH (FT)",Reid1845,1904-08-18,1905-07-05,
