unique_ID,hansardID,surname,allOtherNames,firstName,commonName,displayName,earlierOrLaterNames,title,gender,birthDate,birthYear,deathDate,comments,wikipedia,adb
Abbott1957,EZ5,Abbott,Anthony John,Anthony,Tony,,,,male,1957-11-04,,,,,
Abbott1886,JLJ,Abbott,Charles Lydiard Aubrey,Charles,,,,,male,1886-01-04,,1975-04-30,,,
Abbott1891,JLL,Abbott,Joseph Palmer,Joseph,,,,,male,1891-10-18,,1965-05-07,,,
Abbott1869,JLM,Abbott,Percy Phipps,Percy,,,,,male,1869-05-14,,1940-09-09,,https://en.wikipedia.org/wiki/Percy_Abbott_(Australian_politician),
Abel1939,JLN,Abel,John Arthur,John,,,,,male,1939-06-25,,,,,
Adams1951,BV5,Adams,Dick Godfrey Harry,Dick,,,,,male,1951-04-29,,,,,
Adermann1927,ID4,Adermann,Albert Evan,Albert,Evan,,,,male,1927-03-10,,2001-11-03,,,
Adermann1896,JLR,Adermann,Charles Frederick,Charles,,,Later Sir Charles,,male,1896-08-03,,1979-05-09,,,
Ahern1871,JLS,Ahern,Cornelius Joseph,Cornelius,,,,,male,1871-07-10,,1955-07-10,,,
Albanese1963,R36,Albanese,Anthony Norman,Anthony,,,,,male,1963-03-02,,,,,
Aldred1945,KD4,Aldred,Kenneth James,Kenneth,Ken,,,,male,1945-08-01,,,,,
Alexander1951,M3M,Alexander,John Gilbert,John,,,,,male,1951-07-04,,,,,
Allan1916,JLT,Allan,Archibald Ian,Archibald,,,,,male,1916-01-03,,2000-02-13,,,
Aly1967,13050,Aly,Anne,Anne,,,,Dr,female,1967-03-29,,,,,
AndersonCharles1897,JLU,Anderson,Charles Groves Wright,Charles,,,,,male,1897-02-12,,1988-11-11,,,
AndersonGordon1897,JLU,Anderson,Gordon,Gordon,,,,,male,1897-12-29,,1958-05-23,,,
Anderson1956,4K4,Anderson,John Duncan,John,,,,,male,1956-11-14,,,,,
Andren1946,KL6,Andren,Peter James,Peter,,,,,male,1946-08-28,,2007-11-03,,,
Andrew1944,HE4,Andrew,John Neil,John,,,,,male,1944-06-07,,,,,
Andrews1960,230886,Andrews,Karen Lesley,Karen,,,,,female,1960-08-23,,,,,
Andrews1955,HK5,Andrews,Kevin James,Kevin,,,,,male,1955-11-09,,,,,
Andrews1900,JLW,Andrews,Thomas William,Thomas,,,,,male,1900-10-19,,1974-11-21,,,
Anstey1865,JLY,Anstey,Frank,Frank,,,,,male,1865-08-18,,1940-10-31,,,
Anthony1897,JLZ,Anthony,Hubert Lawrence,Hubert,Larry,,,,male,1897-03-12,,1957-07-12,,,
Anthony1929,BU4,Anthony,John Douglas,John,Doug,,,,male,1929-12-31,,,,https://en.wikipedia.org/wiki/Doug_Anthony,
Anthony1961,XJ6,Anthony,Lawrence James,Lawrence,Larry,,,,male,1961-12-17,,,,,
Archer1871,JM2,Archer,Edward Walker,Edward,,,,,male,1871-12-12,,1940-07-01,,,
Archibald1852,JM8,Archibald,William Oliver,William,,,,,male,1852-06-03,,1926-06-28,,,
Armitage1920,JM9,Armitage,John Lindsay,John,,,,,male,1920-11-11,,2009-04-13,,,
Armstrong1909,JMA,Armstrong,Adam Alexander,Adam,,,,,male,1909-07-01,,1982-02-22,,,
Arthur1875,JMB,Arthur,John Andrew,John,,,,,male,1875-08-15,,1914-12-09,,,
