ministry,ministry_number,ministry_party,ministry_title,uniqueID,ministry_name,ministry_from,ministry_to,ministry_assistant_minister_or_parliamentary_secretary,ministry_comment
Barton,1,Protectionist,Prime Minister,Barton1849,"Barton, E",1901-01-01,1903-09-24,,
Barton,1,Protectionist,Minister for External Affairs,Barton1849,"Barton, E",1901-01-01,1903-09-24,,
Barton,1,Protectionist,Attorney-General,Deakin1856,"Deakin, A",1901-01-01,1903-09-24,,
Barton,1,Protectionist,Minister for Home Affairs,Lyne1844,"Lyne, WJ",1901-01-01,1903-08-11,,
Barton,1,Protectionist,Minister for Home Affairs,Forrest1847,"Forrest, J",1903-08-11,1903-09-24,,
Barton,1,Protectionist,Treasurer,Turner1851,"Turner, G",1901-01-01,1903-09-24,,
Barton,1,Protectionist,Minister for Trade and Customs,Kingston1850,"Kingston, CC",1901-01-01,1903-07-24,,
Barton,1,Protectionist,Minister for Trade and Customs,Lyne1844,"Lyne, WJ",1903-08-11,1903-09-24,,
Barton,1,Protectionist,Minister for Defence,,"Dickson, JR",1901-01-01,1901-01-10,,
Barton,1,Protectionist,Minister for Defence,Forrest1847,"Forrest, J",1901-01-17,1903-08-10,,
Barton,1,Protectionist,Minister for Defence,Drake1850,"Drake, Senator JG",1903-08-10,1903-09-24,,
Barton,1,Protectionist,Postmaster-General,Forrest1847,"Forrest, J",1901-01-01,1901-01-17,,
Barton,1,Protectionist,Postmaster-General,Drake1850,"Drake, Senator JG",1901-02-05,1903-08-10,,
Barton,1,Protectionist,Postmaster-General,Fysh1835,"Fysh, PO",1903-08-10,1903-09-24,,
Barton,1,Protectionist,Vice-President of Executive Council,OConnor1851,"O'Connor, Senator RE",1901-01-01,1903-09-24,,
Barton,1,Protectionist,Minister (without portfolio),,"Lewis, NE",1901-01-01,1901-04-23,,
Barton,1,Protectionist,Minister (without portfolio),Fysh1835,"Fysh, PO",1901-04-26,1903-08-10,,
Deakin,2,Protectionist,Prime Minister,Deakin1856,"Deakin, A",1903-09-24,1904-04-27,,
Deakin,2,Protectionist,Minister for External Affairs,Deakin1856,"Deakin, A",1903-09-24,1904-04-27,,
Deakin,2,Protectionist,Minister for Trade and Customs,Lyne1844,"Lyne, WJ",1903-09-24,1904-04-27,,
Deakin,2,Protectionist,Treasurer,Turner1851,"Turner, G",1903-09-24,1904-04-27,,
Deakin,2,Protectionist,Minister for Home Affairs,Forrest1847,"Forrest, J",1903-09-24,1904-04-27,,
Deakin,2,Protectionist,Attorney-General,Drake1850,"Drake, Senator JG",1903-09-24,1904-04-27,,
Deakin,2,Protectionist,Postmaster-General,Fysh1835,"Fysh, PO",1903-09-24,1904-04-27,,
Deakin,2,Protectionist,Minister for Defence,Chapman1864,"Chapman, A",1903-09-24,1904-04-27,,
Deakin,2,Protectionist,Vice-President of Executive Council,Playford1837,"Playford, Senator T",1903-09-24,1904-04-27,,
Watson,3,ALP,Prime Minister,Watson1867,"Watson, JC",1904-04-27,1904-08-17,,
Watson,3,ALP,Treasurer,Watson1867,"Watson, JC",1904-04-27,1904-08-17,,
Watson,3,ALP,Minister for External Affairs,Hughes1862,"Hughes, WM",1904-04-27,1904-08-17,,
Watson,3,ALP,Attorney-General,Higgins1851,"Higgins, HB",1904-04-27,1904-08-17,,
Watson,3,ALP,Minister for Home Affairs,Batchelor1865,"Batchelor, EL",1904-04-27,1904-08-17,,
Watson,3,ALP,Minister for Trade and Customs,Fisher1862,"Fisher, A",1904-04-27,1904-08-17,,
Watson,3,ALP,Minister for Defence,Dawson1863,"Dawson, Senator A",1904-04-27,1904-08-17,,
Watson,3,ALP,Postmaster-General,Mahon1857,"Mahon, H",1904-04-27,1904-08-17,,
Watson,3,ALP,Vice-President of Executive Council,McGregor1848,"McGregor, Senator G",1904-04-27,1904-08-17,,
Reid-McLean,4,Free Trade-Protectionist Coalition,Prime Minister,Reid1845,"Reid, GH (FT)",1904-08-18,1905-07-05,,
Reid-McLean,4,Free Trade-Protectionist Coalition,Minister for External Affairs,Reid1845,"Reid, GH (FT)",1904-08-18,1905-07-05,,
Reid-McLean,4,Free Trade-Protectionist Coalition,Minister for Trade and Customs,McLean1840,"McLean, A (PROT)",1904-08-18,1905-07-05,,
Reid-McLean,4,Free Trade-Protectionist Coalition,Attorney-General,Symon1846,"Symon, Senator JH (FT)",1904-08-18,1905-07-05,,
Reid-McLean,4,Free Trade-Protectionist Coalition,Treasurer,Turner1851,"Turner, G (PROT)",1904-08-18,1905-07-05,,
Reid-McLean,4,Free Trade-Protectionist Coalition,Minister for Home Affairs,Thomson1848,"Thomson, D (FT)",1904-08-18,1905-07-05,,
Reid-McLean,4,Free Trade-Protectionist Coalition,Minister for Defence,McCay1864,"McCay, JW (PROT)",1904-08-18,1905-07-05,,
Reid-McLean,4,Free Trade-Protectionist Coalition,Postmaster-General,Smith1856,"Smith, S (FT)",1904-08-18,1905-07-05,,
Reid-McLean,4,Free Trade-Protectionist Coalition,Vice-President of Executive Council,Drake1850,"Drake, Senator JG (PROT)",1904-08-18,1905-07-05,,
Deakin,5,Protectionist,Prime Minister,Deakin1856,"Deakin, A",1905-07-05,1908-11-13,,
Deakin,5,Protectionist,Minister for External Affairs,Deakin1856,"Deakin, A",1905-07-05,1908-11-13,,
Deakin,5,Protectionist,Attorney-General,Isaacs1855,"Isaacs, IA",1905-07-05,1906-10-12,,
Deakin,5,Protectionist,Attorney-General,Groom1867,"Groom, LE",1906-10-12,1908-11-13,,
Deakin,5,Protectionist,Minister for Trade and Customs,Lyne1844,"Lyne, WJ",1905-07-05,1907-07-30,,
Deakin,5,Protectionist,Minister for Trade and Customs,Chapman1864,"Chapman, A",1907-07-30,1908-11-13,,
Deakin,5,Protectionist,Treasurer,Forrest1847,"Forrest, J",1905-07-05,1907-07-30,,
Deakin,5,Protectionist,Treasurer,Lyne1844,"Lyne, WJ",1907-07-30,1908-11-13,,
Deakin,5,Protectionist,Postmaster-General,Chapman1864,"Chapman, A",1905-07-05,1907-07-30,,
Deakin,5,Protectionist,Postmaster-General,Mauger1857,"Mauger, S",1907-07-30,1908-11-13,,
Deakin,5,Protectionist,Minister for Defence,Playford1837,"Playford, Senator T",1905-07-05,1907-01-24,,
Deakin,5,Protectionist,Minister for Defence,Ewing1856,"Ewing, TT",1907-01-24,1908-11-13,,
Deakin,5,Protectionist,Minister for Home Affairs,Groom1867,"Groom, LE",1905-07-05,1906-10-12,,
Deakin,5,Protectionist,Minister for Home Affairs,Ewing1856,"Ewing, TT",1906-10-12,1907-01-24,,
Deakin,5,Protectionist,Minister for Home Affairs,Keating1872,"Keating, Senator JH",1907-01-24,1908-11-13,,
Deakin,5,Protectionist,Vice-President of Executive Council,Ewing1856,"Ewing, TT",1905-07-05,1906-10-12,,
Deakin,5,Protectionist,Vice-President of Executive Council,Keating1872,"Keating, Senator JH",1906-10-12,1907-02-20,,
Deakin,5,Protectionist,Vice-President of Executive Council,Best1856,"Best, Senator RW",1907-02-20,1908-11-13,,
Deakin,5,Protectionist,Minister (without portfolio),Keating1872,"Keating, Senator JH",1905-07-05,1906-10-12,,
Deakin,5,Protectionist,Minister (without portfolio),Mauger1857,"Mauger, S",1906-10-12,1907-07-30,,
Deakin,5,Protectionist,Minister (without portfolio),HumeCook1866,"Cook, JNHH",1908-01-28,1908-11-13,,
Fisher,6,ALP,Prime Minister,Fisher1862,"Fisher, A",1908-11-13,1909-06-02,,
Fisher,6,ALP,Treasurer,Fisher1862,"Fisher, A",1908-11-13,1909-06-02,,
Fisher,6,ALP,Attorney-General,Hughes1862,"Hughes, WM",1908-11-13,1909-06-02,,
Fisher,6,ALP,Minister for External Affairs,Batchelor1865,"Batchelor, EL",1908-11-13,1909-06-02,,
Fisher,6,ALP,Minister for Home Affairs,Mahon1857,"Mahon, H",1908-11-13,1909-06-02,,
Fisher,6,ALP,Postmaster-General,Thomas1863,"Thomas, J",1908-11-13,1909-06-02,,
Fisher,6,ALP,Minister for Defence,Pearce1870,"Pearce, Senator GF",1908-11-13,1909-06-02,,
Fisher,6,ALP,Minister for Trade and Customs,Tudor1866,"Tudor, FG",1908-11-13,1909-06-02,,
Fisher,6,ALP,Vice-President of Executive Council,McGregor1848,"McGregor, Senator G",1908-11-13,1909-06-02,,
Fisher,6,ALP,Minister (without portfolio),Hutchison1859,"Hutchison, J",1908-11-13,1909-06-02,,
Deakin,7,Protectionist-Free Trade-Tariff Reform ('Fusion'),Prime Minister (without portfolio),Deakin1856,"Deakin, A (PROT)",1909-06-02,1910-04-29,,
Deakin,7,Protectionist-Free Trade-Tariff Reform ('Fusion'),Minister for Defence,Cook1860,"Cook, J (FT)",1909-06-02,1910-04-29,,
Deakin,7,Protectionist-Free Trade-Tariff Reform ('Fusion'),Treasurer,Forrest1847,"Forrest, J (PROT)",1909-06-02,1910-04-29,,
Deakin,7,Protectionist-Free Trade-Tariff Reform ('Fusion'),Minister for Trade and Customs,Best1856,"Best, Senator RW (PROT)",1909-06-02,1910-04-29,,
Deakin,7,Protectionist-Free Trade-Tariff Reform ('Fusion'),Minister for External Affairs,Groom1867,"Groom, LE (PROT)",1909-06-02,1910-04-29,,
Deakin,7,Protectionist-Free Trade-Tariff Reform ('Fusion'),Attorney-General,Glynn1855,"Glynn, PMcM (FT)",1909-06-02,1910-04-29,,
Deakin,7,Protectionist-Free Trade-Tariff Reform ('Fusion'),Postmaster-General,Quick1852,"Quick, J (PROT)",1909-06-02,1910-04-29,,
Deakin,7,Protectionist-Free Trade-Tariff Reform ('Fusion'),Minister for Home Affairs,Frydenberg1971,"Fuller, GW (FT)",1909-06-02,1910-04-29,,
Deakin,7,Protectionist-Free Trade-Tariff Reform ('Fusion'),Vice-President of Executive Council,Millen1860,"Millen, Senator ED (FT)",1909-06-02,1910-04-29,,
Deakin,7,Protectionist-Free Trade-Tariff Reform ('Fusion'),Minister (without portfolio),Foxton1849,"Foxton, JFG (FT)",1909-06-02,1910-04-29,,
Fisher,8,ALP,Prime Minister,Fisher1862,"Fisher, A",1910-04-29,1913-06-24,,
Fisher,8,ALP,Treasurer,Fisher1862,"Fisher, A",1910-04-29,1913-06-24,,
Fisher,8,ALP,Attorney-General,Hughes1862,"Hughes, WM",1910-04-29,1913-06-24,,
Fisher,8,ALP,Minister for External Affairs,Batchelor1865,"Batchelor, EL",1910-04-29,1911-10-08,,
Fisher,8,ALP,Minister for External Affairs,Thomas1863,"Thomas, J",1911-10-14,1913-06-24,,
Fisher,8,ALP,Postmaster-General,Thomas1863,"Thomas, J",1910-04-29,1911-10-14,,
Fisher,8,ALP,Postmaster-General,Frazer1880,"Frazer, CE",1911-10-14,1913-06-24,,
Fisher,8,ALP,Minister for Defence,Pearce1870,"Pearce, Senator GF",1910-04-29,1913-06-24,,
Fisher,8,ALP,Minister for Trade and Customs,Tudor1866,"Tudor, FG",1910-04-29,1913-06-24,,
Fisher,8,ALP,Minister for Home Affairs,OMalley1854,"O'Malley, K",1910-04-29,1913-06-24,,
Fisher,8,ALP,Vice-President of Executive Council,McGregor1848,"McGregor, Senator G",1910-04-29,1913-06-24,,
Fisher,8,ALP,Minister (without portfolio),Findley1864,"Findley, Senator E",1910-04-29,1913-06-24,,
Fisher,8,ALP,Minister (without portfolio),Frazer1880,"Frazer, CE",1910-04-29,1911-10-14,,
Fisher,8,ALP,Minister (without portfolio),Roberts1869,"Roberts, EA",1911-10-23,1913-06-24,,
Cook,9,LIB,Prime Minister,Cook1860,"Cook, J",1913-06-24,1914-09-17,,
Cook,9,LIB,Minister for Home Affairs,Cook1860,"Cook, J",1913-06-24,1914-09-17,,
Cook,9,LIB,Treasurer,Forrest1847,"Forrest, J",1913-06-24,1914-09-17,,
Cook,9,LIB,Attorney-General,Irvine1858,"Irvine, WH",1913-06-24,1914-09-17,,
Cook,9,LIB,Minister for Defence,Millen1860,"Millen, Senator ED",1913-06-24,1914-09-17,,
Cook,9,LIB,Minister for External Affairs,Glynn1855,"Glynn, PMcM",1913-06-24,1914-09-17,,
Cook,9,LIB,Minister for Trade and Customs,Groom1867,"Groom, LE",1913-06-24,1914-09-17,,
Cook,9,LIB,Postmaster-General,Wynne1850,"Wynne, A",1913-06-24,1914-09-17,,
Cook,9,LIB,Vice-President of Executive Council,McColl1844,"McColl, Senator JH",1913-06-24,1914-09-17,,
Cook,9,LIB,Minister (without portfolio),Clemons1862,"Clemons, Senator JS",1913-06-24,1914-09-17,,
Cook,9,LIB,Minister (without portfolio),Kelly1877,"Kelly, WH",1913-06-24,1914-09-17,,
Fisher,10,ALP,Prime Minister,Fisher1862,"Fisher, A",1914-09-17,1915-10-27,,
Fisher,10,ALP,Treasurer,Fisher1862,"Fisher, A",1914-09-17,1915-10-27,,
Fisher,10,ALP,Attorney-General,Hughes1862,"Hughes, WM",1914-09-17,1915-10-27,,
Fisher,10,ALP,Minister for Defence,Pearce1870,"Pearce, Senator GF",1914-09-17,1915-10-27,,
Fisher,10,ALP,Minister for Trade and Customs,Tudor1866,"Tudor, FG",1914-09-17,1915-10-27,,
Fisher,10,ALP,Minister for External Affairs,Arthur1875,"Arthur, JA",1914-09-17,1914-12-09,,
Fisher,10,ALP,Minister for External Affairs,Mahon1857,"Mahon, H",1914-12-14,1915-10-27,,
Fisher,10,ALP,Minister for Home Affairs,Archibald1852,"Archibald, WO",1914-09-17,1915-10-27,,
Fisher,10,ALP,Postmaster-General,Spence1846,"Spence, WG",1914-09-17,1915-10-27,,
Fisher,10,ALP,Vice-President of Executive Council,Gardiner1867,"Gardiner, Senator A",1914-09-17,1915-10-27,,
Fisher,10,ALP,Minister for the Navy,Jensen1865,"Jensen, JA",1915-07-12,1915-10-27,,
Fisher,10,ALP,Assistant Minister,Russell1878,"Russell, Senator EJ",1914-09-17,1915-10-27,1,
Fisher,10,ALP,Assistant Minister,Mahon1857,"Mahon, H",1914-09-17,1914-12-14,1,
Fisher,10,ALP,Assistant Minister,Jensen1865,"Jensen, JA",1914-09-17,1915-07-12,1,
Hughes,11,ALP,Prime Minister,Hughes1862,"Hughes, WM",1915-10-27,1916-11-14,,
Hughes,11,ALP,Attorney-General,Hughes1862,"Hughes, WM",1915-10-27,1916-11-14,,
Hughes,11,ALP,Minister for Defence,Pearce1870,"Pearce, Senator GF",1915-10-27,1916-11-14,,
Hughes,11,ALP,Minister for Trade and Customs,Tudor1866,"Tudor, FG",1915-10-27,1916-09-14,,
Hughes,11,ALP,Minister for Trade and Customs,Hughes1862,"Hughes, WM",1916-09-29,1916-11-14,,
Hughes,11,ALP,Minister for External Affairs,Mahon1857,"Mahon, H",1915-10-27,1916-11-14,,
Hughes,11,ALP,Minister for the Navy,Jensen1865,"Jensen, JA",1915-10-27,1916-11-14,,
Hughes,11,ALP,Treasurer,Higgs1862,"Higgs, WG",1915-10-27,1916-10-27,,
Hughes,11,ALP,Minister for Home Affairs,OMalley1854,"O'Malley, K",1915-10-27,1916-11-14,,
Hughes,11,ALP,Postmaster-General,Webster1860,"Webster, W",1915-10-27,1916-11-14,,
Hughes,11,ALP,Vice-President of Executive Council,Gardiner1867,"Gardiner, Senator A",1915-10-27,1916-10-27,,
Hughes,11,ALP,Assistant Minister,Russell1878,"Russell, Senator EJ",1915-10-27,1916-10-27,1,
Hughes,12,National Labour,Prime Minister,Hughes1862,"Hughes, WM",1916-11-14,1917-02-17,,
Hughes,12,National Labour,Attorney-General,Hughes1862,"Hughes, WM",1916-11-14,1917-02-17,,
Hughes,12,National Labour,Minister for Defence,Pearce1870,"Pearce, Senator GF",1916-11-14,1917-02-17,,
Hughes,12,National Labour,Minister for the Navy,Jensen1865,"Jensen, JA",1916-11-14,1917-02-17,,
Hughes,12,National Labour,Postmaster-General,Webster1860,"Webster, W",1916-11-14,1917-02-17,,
Hughes,12,National Labour,Treasurer,Poynton1853,"Poynton, A",1916-11-14,1917-02-17,,
Hughes,12,National Labour,Minister for Trade and Customs,Archibald1852,"Archibald, WO",1916-11-14,1917-02-17,,
Hughes,12,National Labour,Minister for Home and Territories,Bamford1849,"Bamford, FW",1916-11-14,1917-02-17,,
Hughes,12,National Labour,Minister for Works and Railways,Lynch1867,"Lynch, Senator PJ",1916-11-14,1917-02-17,,
Hughes,12,National Labour,Vice-President of Executive Council,Spence1846,"Spence, WG",1916-11-14,1917-02-17,,
Hughes,12,National Labour,Assistant Minister,Russell1878,"Russell, Senator EJ",1916-11-14,1917-02-17,1,
Hughes,12,National Labour,Assistant Minister,SmithWilliam1869,"Smith, WHL",1916-11-14,1917-02-17,1,
Hughes,13,Nationalist,Prime Minister,Hughes1862,"Hughes, WM",1917-02-17,1918-01-10,,
Hughes,13,Nationalist,Attorney-General,Hughes1862,"Hughes, WM",1917-02-17,1918-01-10,,
Hughes,13,Nationalist,Minister for the Navy,Cook1860,"Cook, J",1917-02-17,1918-01-10,,
Hughes,13,Nationalist,Treasurer,Forrest1847,"Forrest, J",1917-02-17,1918-01-10,,
Hughes,13,Nationalist,Minister for Defence,Pearce1870,"Pearce, Senator GF",1917-02-17,1918-01-10,,
Hughes,13,Nationalist,Vice-President of Executive Council,Millen1860,"Millen, Senator ED",1917-02-17,1917-11-16,,
Hughes,13,Nationalist,Vice-President of Executive Council,Groom1867,"Groom, LE",1917-11-16,1918-01-10,,
Hughes,13,Nationalist,Minister for Repatriation,Millen1860,"Millen, Senator ED",1917-09-28,1918-01-10,,
Hughes,13,Nationalist,Minister for Works and Railways,Watt1871,"Watt, WA",1917-02-17,1918-01-10,,
Hughes,13,Nationalist,Minister for Home and Territories,Glynn1855,"Glynn, PMcM",1917-02-17,1918-01-10,,
Hughes,13,Nationalist,Minister for Trade and Customs,Jensen1865,"Jensen, JA",1917-02-17,1918-01-10,,
Hughes,13,Nationalist,Postmaster-General,Webster1860,"Webster, W",1917-02-17,1918-01-10,,
Hughes,13,Nationalist,Honorary Minister,Russell1878,"Russell, Senator EJ",1917-02-17,1918-01-10,,
Hughes,13,Nationalist,Honorary Minister,Groom1867,"Groom, LE",1917-02-17,1917-11-16,,
Hughes,14,Nationalist,Prime Minister,Hughes1862,"Hughes, WM",1918-01-10,1923-02-09,,
Hughes,14,Nationalist,Attorney-General,Hughes1862,"Hughes, WM",1918-01-10,1921-12-21,,
Hughes,14,Nationalist,Attorney-General,Groom1867,"Groom, LE",1921-12-21,1923-02-09,,
Hughes,14,Nationalist,Minister for External Affairs,Hughes1862,"Hughes, WM",1921-12-21,1923-02-09,,
Hughes,14,Nationalist,Minister for the Navy,Cook1860,"Cook, J",1918-01-10,1920-07-28,,
Hughes,14,Nationalist,Minister for the Navy,SmithWilliam1869,"Smith, WHL",1920-07-28,1921-12-21,,
Hughes,14,Nationalist,Treasurer,Forrest1847,"Forrest, J",1918-01-10,1918-03-27,,
Hughes,14,Nationalist,Treasurer,Watt1871,"Watt, WA",1918-03-27,1920-06-15,,
Hughes,14,Nationalist,Treasurer,Cook1860,"Cook, J",1920-07-28,1921-11-11,,
Hughes,14,Nationalist,Treasurer,Bruce1883,"Bruce, SM",1921-12-21,1923-02-09,,
Hughes,14,Nationalist,Minister for Defence,Pearce1870,"Pearce, Senator GF",1918-01-10,1921-12-21,,
Hughes,14,Nationalist,Minister for Repatriation,Millen1860,"Millen, Senator ED",1918-01-10,1923-02-09,,
Hughes,14,Nationalist,Minister for Works and Railways,Watt1871,"Watt, WA",1918-01-10,1918-03-27,,
Hughes,14,Nationalist,Minister for Works and Railways,Groom1867,"Groom, LE",1918-03-27,1921-12-21,,
Hughes,14,Nationalist,Minister for Works and Railways,Foster1856,"Foster, RW",1921-12-21,1923-02-09,,
