uniqueID,aphID,idsComments
Abbott1957,EZ5,
Abbott1886,JLJ,
Abbott1891,JLL,
Abbott1877,JNT,
Abbott1869,JLM,
Abbott1859,JYU,
Abel1939,JLN,
Abetz1958,N26,
Adams1951,BV5,
Adams1943,E4Q,
Adamson1857,JZ2,
Adermann1927,ID4,
Adermann1896,JLR,
Ahern1871,JLS,
Albanese1963,R36,
Aldred1945,KD4,
Alexander1951,M3M,
Allan1916,JLT,
Allen1966,282986,
Allison1946,1M6,
Alston1941,LD4,
Aly1967,13050,
Amour1900,JZH,
AndersonCharles1897,JLU,
AndersonGordon1897,JLV,
Anderson1956,4K4,
Anderson1909,JZQ,
Andren1946,KL6,
Andrew1866,JZW,
Andrew1944,HE4,
Andrews1960,230886,
Andrews1955,HK5,
Andrews1900,JLW,
Anning1949,273829,
Anstey1865,JLY,
Anthony1897,JLZ,
Anthony1929,BU4,
Anthony1961,XJ6,
Antic1974,269375,
Arbib1971,HES,
Archer1929,IE4,
Archer1975,282237,
Archer1871,JM2,
Archibald1852,JM8,
Arkins1888,K08,
Armitage1920,JM9,
Armstrong1909,JMA,
Armstrong1908,K0C,
Arnold1902,K0N,
Arthur1875,JMB,
Arthur1883,K0P,
Arthur1918,JMC,
Ashley1881,K0W,
AshleyBrown1915,JME,
Askew1963,281558,
Aston1916,JMF,
Atkinson1867,JMG,
Atkinson1948,JMI,
Aulich1945,JE4,
Aylett1900,K0Z,
Ayres,16913,
Back1950,J7Q,
Badman1885,JNM,
Bailey1946,JT4,
Baillieu1937,JNO,
Baird1942,MP6,
Baker1903,JNP,
Baker1873,JNR,
Baker1958,DYK,
Baker1841,L2E,
Bakhap1866,K18,
Baldwin1951,MD4,
Baldwin1955,LL6,
Bamford1849,JNV,
Bandidt1906,JNZ,
Bandt1972,M3C,
Banks1962,18661,
Barker1846,K1I,
Barnard1890,JNX,
Barnard1919,JO8,
Barnes1901,JOA,
Barnes1868,K1L,
Barnett1962,00AUF,
Barresi1955,ZJ6,
Barrett1858,K1O,
Bartlett1964,DT6,
Bartlett1949,0K6,
Barton1849,009LR,
Barwell1877,K1P,
Barwick1903,126,
Batchelor1865,JOC,
Bate1906,JOE,
Baume1930,LE4,
Baume1935,ME4,
Bayley1882,JOG,
Beahan1937,NE4,
Beale1934,OE4,
Beale1898,JOI,
Beard1866,JOK,
Beasley1895,JOM,
Beaton1925,JOO,
Beazley1948,PE4,
Beazley1917,JF7,
Beck1882,JOQ,
Beddall1948,QE4,
Beerworth1886,K1Q,
Bell1968,282981,
Bell1872,JOS,
Bell1950,7U4,
Benn1897,K1T,
Bennett1933,JOU,
Bennett1872,JOW,
Bennett1874,JOY,
Benny1869,K1W,
Benson1909,JP5,
Berinson1932,JP8,
Bernardi1969,G0D,
Berry1907,JPA,
Bessell1923,K1X,
Best1856,JPC,
Bevis1955,ET4,
Bidgood1959,HVM,
Billson1966,1K6,
Bilney1939,RE4,
Bilyk1959,HZB,
Bird1906,JPE,
Bird1962,DZP,
Birmingham1974,H6X,
Birney1928,JPG,
Birrell1913,JPJ,
Bishop1942,SE4,
Bishop1956,83P,
Bishop1913,K1Y,
Bishop1954,2L6,
BjelkePetersen1920,ND4,
Black1952,TE4,
Blackburn1889,JPL,
Blackburn1880,JPN,
Blacklow1879,JPP,
Blackwood1861,JPR,
Blain1894,JPT,
Blakeley1886,JPV,
Blakey1879,K22,
Blanchard1929,UE4,
Bland1882,JQ7,
Blewett1933,VE4,
Blundell1871,JQ9,
Blunt1951,WE4,
Bolkus1950,XE4,
Bolton1860,K2C,
Bonner1922,0V4,
Bonnett1916,JQB,
Bonython1848,JR7,
Bosman1924,JR9,
Bostock1892,JRB,
Boswell1940,YE4,
Bourchier1929,JRD,
Bourke1913,JRF,
Bourne1954,TW4,
Bowden1871,JRH,
Bowden1888,JRJ,
Bowen1973,DZS,
Bowen1922,ZE4,
Bowen1911,JRN,
Boyce1951,H6V,
Boyd1867,JRP,
Bradbury1976,HVW,
Braddon1829,JRR,
Bradfield1933,JRU,
Bradford1946,FT4,
Bragg1984,256063,
Braithwaite1933,0F4,
Brand1873,K2F,
Brand1888,JS7,
Brandis1957,008W7,
Branson1918,K2I,
Breen1898,JS9,
Breen1902,K2W,
Brennan1873,JSC,
Brennan1866,K2Z,
Brereton1946,5T4,
BridgesMaxwell1929,JSE,
Briggs1977,IYU,
Brimblecombe1898,JSG,
Broad1975,30379,
Broadbent1950,MT4,
Brockman1970,30484,
Brodtmann1963,30540,
Brough1961,2K6,
Brown1963,F49,
Brown1894,JSI,
Brown1885,K6P,
Brown1931,OD4,
Brown1843,JSK,
Brown1940,PD4,
Brown1933,5A5,
Brown1944,QD4,
Brown1861,JSM,
Brown1920,K3A,
Brownbill1914,JSO,
Browne1924,JSQ,
